prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms,method
1019357,191882,161765,205,14808,1415,3,55,1488.750,0.74,x16_nonsplit_halving
1019357,589915,15165,25,12767,1146,3,44,1217.000,0.74,x16_nonsplit_halving
1020683,492792,821141,12272,333,66,0,0,66.000,190.42,bruteforce
1020683,970422,72665,2780,292,66,0,0,66.000,190.42,bruteforce
1020683,8880,177108,8847,333,66,0,0,66.000,190.42,bruteforce
1020683,948076,161435,957,709,66,0,0,66.000,190.42,bruteforce
1020683,447829,561387,1183,334,66,0,0,66.000,190.42,bruteforce
1020683,30090,223581,22192,291,66,0,0,66.000,190.42,bruteforce
1020683,583607,763355,4175,292,66,0,0,66.000,190.42,bruteforce
1020683,243276,542313,7106,292,66,0,0,66.000,190.42,bruteforce
1020683,38843,423959,102,333,66,0,0,66.000,190.42,bruteforce
1020683,596295,259776,5091,291,66,0,0,66.000,190.42,bruteforce
1020683,821528,351340,2045,292,66,0,0,66.000,190.42,bruteforce
1020683,694142,348313,773,333,66,0,0,66.000,190.42,bruteforce
1020683,990487,313946,614,291,66,0,0,66.000,190.42,bruteforce
1020683,102141,759827,5607,292,66,0,0,66.000,190.42,bruteforce
1020683,574186,1001652,9708,333,66,0,0,66.000,190.42,bruteforce
1020683,12872,430986,1132,292,66,0,0,66.000,190.42,bruteforce
1020683,444552,943838,11568,375,66,0,0,66.000,190.42,bruteforce
1020683,568397,968557,12881,292,66,0,0,66.000,190.42,bruteforce
1020683,322699,21353,4711,333,66,0,0,66.000,190.42,bruteforce
1020683,1020394,763260,6554,333,66,0,0,66.000,190.42,bruteforce
1021429,441691,926406,1044,14583,1199,3,41,1269.250,0.98,x16_nonsplit_halving
1021429,441691,504047,44,11934,818,0,34,826.500,0.98,x16_nonsplit_halving
1021429,713969,670544,27,13933,1064,3,34,1132.500,0.98,x16_nonsplit_halving
1021429,713969,889415,55,12875,867,0,37,876.250,0.98,x16_nonsplit_halving
1021429,946452,972511,308,16393,1434,3,56,1508.000,0.98,x16_nonsplit_halving
1021429,946452,70707,48,12375,837,0,32,845.000,0.98,x16_nonsplit_halving
1021429,520291,136687,24,13958,1131,3,40,1201.000,0.98,x16_nonsplit_halving
1021429,520291,155361,51,12393,849,0,34,857.500,0.98,x16_nonsplit_halving
1021429,367681,755443,23,13959,1213,3,43,1283.750,0.98,x16_nonsplit_halving
1021429,367681,201426,48,12000,744,0,32,752.000,0.98,x16_nonsplit_halving
1021429,333458,985229,268,19850,2002,3,81,2082.250,0.98,x16_nonsplit_halving
1021429,333458,50349,54,12208,873,0,38,882.500,0.98,x16_nonsplit_halving
1021429,111851,320315,239,19893,1704,3,68,1781.000,0.98,x16_nonsplit_halving
1021429,111851,978164,51,12375,781,0,33,789.250,0.98,x16_nonsplit_halving
1021429,851854,453854,37,13184,1155,3,44,1226.000,0.98,x16_nonsplit_halving
1021429,851854,192835,37,10791,800,0,31,807.750,0.98,x16_nonsplit_halving
1021429,693247,546032,674,13417,1213,3,44,1284.000,0.98,x16_nonsplit_halving
1021429,693247,268575,47,11709,928,0,42,938.500,0.98,x16_nonsplit_halving
1021429,79671,227426,546,13559,1272,3,49,1344.250,0.98,x16_nonsplit_halving
1021429,1000842,558731,21,14143,1143,3,42,1213.500,0.98,x16_nonsplit_halving
1021907,367116,145046,72737,292,66,0,0,66.000,1026.48,bruteforce
1021907,747514,958700,24303,750,66,0,0,66.000,1026.48,bruteforce
1021907,758399,795738,14417,291,66,0,0,66.000,1026.48,bruteforce
1021907,17391,996753,47669,291,66,0,0,66.000,1026.48,bruteforce
1021907,186395,855419,43041,291,66,0,0,66.000,1026.48,bruteforce
1021907,66233,885386,108613,292,66,0,0,66.000,1026.48,bruteforce
1021907,46175,395290,2979,292,66,0,0,66.000,1026.48,bruteforce
1021907,475538,525314,14052,334,66,0,0,66.000,1026.48,bruteforce
1021907,906371,919953,4241,292,66,0,0,66.000,1026.48,bruteforce
1021907,174506,352832,25551,334,66,0,0,66.000,1026.48,bruteforce
